Rec,SPE,Acc,Pre,F1,MCC,AUC,AUPR,pdbid,ligid
0.916666667,1,0.996309963,1,0.956521739,0.955584128,1,1,3ppr,4CS
0.823529412,0.986486486,0.96969697,0.875,0.848484848,0.83213873,0.9936407,0.953413508,4w58,3H2
0.947368421,0.989208633,0.986531987,0.857142857,0.9,0.894084413,0.996024233,0.964342875,4i94,ANP
0,0.84,0.728323699,0,0,-0.157155931,0.504347826,0.126524309,6e5f,L6T
0.954545455,0.940677966,0.942857143,0.75,0.84,0.814508747,0.993836672,0.970168346,6e5l,HVD
0.766666667,0.98245614,0.965053763,0.793103448,0.779661017,0.760817758,0.983430799,0.851544101,4inq,PIF
0.904761905,0.992779783,0.986577181,0.904761905,0.904761905,0.897541688,0.99896854,0.986995062,3dbk,RDF
0.857142857,0.973913043,0.967213115,0.666666667,0.75,0.739380004,0.976086957,0.668998264,1u2s,GLC
0.742857143,0.955555556,0.896,0.866666667,0.8,0.734251722,0.964444444,0.911713257,1tw4,CHD
0.923076923,0.97080292,0.963190184,0.857142857,0.888888889,0.867721187,0.995508141,0.977935931,3dpf,AXB
0.740740741,0.994836489,0.983552632,0.869565217,0.8,0.794248446,0.993179065,0.897380372,5ni6,DJ3
0,0.977272727,0.93989071,0,0,-0.029812347,0.393668831,0.035625419,1y1a,GSH
0.636363636,0.913907285,0.895061728,0.35,0.451612903,0.420825656,0.933172787,0.511871462,3nx2,FER
0.694444444,0.985074627,0.883495146,0.961538462,0.806451613,0.745861629,0.983830846,0.970431498,1n8v,BDD
0.884615385,0.970454545,0.965665236,0.638888889,0.741935484,0.735070795,0.987062937,0.821349466,2oeg,UPG
0.375,0.96039604,0.917431193,0.428571429,0.4,0.356791504,0.916941694,0.400193579,5osz,AHK
0.833333333,0.972413793,0.964285714,0.652173913,0.731707317,0.71903109,0.987164751,0.813744778,6h76,SLB
0.923076923,0.980620155,0.977859779,0.705882353,0.8,0.796458384,0.996124031,0.961538462,2dri,RIP
0.80952381,0.922330097,0.903225806,0.68,0.739130435,0.684171617,0.937124364,0.752284465,2b03,TUD
0.722222222,0.975830816,0.950953678,0.764705882,0.742857143,0.716130373,0.977593152,0.859151449,3uh1,NAI
0.9,0.979827089,0.975476839,0.72,0.8,0.792672894,0.987175793,0.803761629,3uh1,SHR
0.838709677,0.988505747,0.980108499,0.8125,0.825396825,0.814968591,0.991410209,0.911489943,3vqs,JT1
0.913043478,0.995604396,0.991631799,0.913043478,0.913043478,0.908647874,0.998471094,0.973258909,5yyb,NGE
0.565217391,0.98630137,0.961340206,0.722222222,0.634146341,0.619203676,0.960095295,0.597530438,4v3b,C5P
0.9375,0.995726496,0.993801653,0.882352941,0.909090909,0.906331506,0.998798077,0.96413166,6i11,H0H
0.826086957,0.974358974,0.955307263,0.826086957,0.826086957,0.800445931,0.983277592,0.913490788,2hps,CTZ
0.606060606,0.911290323,0.847133758,0.64516129,0.625,0.529525557,0.851173021,0.6418917,2w9s,NDP
0.944444444,0.978417266,0.974522293,0.85,0.894736842,0.881870873,0.990807354,0.968834688,2w9s,TOP
0.833333333,1,0.987460815,1,0.909090909,0.906744209,0.995480226,0.959456056,4r74,F6P
0.95,0.970873786,0.967479675,0.863636364,0.904761905,0.886669344,0.995631068,0.984482759,3qxv,MTX
0.523809524,0.9527897,0.917322835,0.5,0.511627907,0.466643913,0.957490292,0.572482118,3kjg,ADP
0.933333333,0.99103139,0.987394958,0.875,0.903225806,0.897025823,0.997608371,0.976811594,1lah,ORN
0.952380952,0.995708155,0.992125984,0.952380952,0.952380952,0.948089107,0.997547517,0.982683983,5ota,AQQ
0.807692308,0.948905109,0.936666667,0.6,0.68852459,0.663085988,0.968978102,0.733245911,6qcn,AR6
0.636363636,0.970695971,0.945762712,0.636363636,0.636363636,0.607059607,0.968031968,0.801372906,5igy,GDP
0.434782609,0.941176471,0.901694915,0.384615385,0.408163265,0.355570836,0.939098465,0.40212255,5igy,ERY
0.866666667,0.986206897,0.980327869,0.764705882,0.8125,0.803912121,0.997701149,0.963756614,6hbd,GZL
0.8,0.991071429,0.962121212,0.941176471,0.864864865,0.846771685,0.979910714,0.955542909,2p70,PRZ
0.833333333,0.962848297,0.958208955,0.454545455,0.588235294,0.597338529,0.979618163,0.620780608,5g3r,89A
1,0.984375,0.985074627,0.75,0.857142857,0.859232943,0.998333333,0.968235294,5g3r,NAG
0.423076923,0.989285714,0.941176471,0.785714286,0.55,0.550287382,0.920054945,0.662434429,5xdt,ZI7
0.751412429,0.975987092,0.958585063,0.724400871,0.737659456,0.715326812,0.971729749,0.780410023,OVERALL,OVERALL
